timestamp,domain,measure
216,cpu%_package-global,7.50626
216,cpu%_package-0,7.54167
216,freq_package-0,400000.0
219,psys-1,4.0771
219,core-0,0.09792
219,package-0,1.0442
219,uncore-0,0.02927
219,package-global,1.0442
219,cpu%_package-global,0.20833
219,cpu%_package-0,0.20792
219,freq_package-0,474381.875
222,psys-1,4.62623
222,core-0,0.15773
222,package-0,1.212
222,uncore-0,0.02874
222,package-global,1.212
222,cpu%_package-global,0.16722
222,cpu%_package-0,0.16723
222,freq_package-0,546294.75
225,psys-1,20.84659
225,core-0,8.13899
225,package-0,11.51294
225,uncore-0,0.1745
225,package-global,11.51294
225,cpu%_package-global,16.42491
225,cpu%_package-0,16.8456
225,freq_package-0,2369824.75
228,psys-1,26.81668
228,core-0,11.11603
228,package-0,15.35385
228,uncore-0,0.21397
228,package-global,15.35385
228,cpu%_package-global,22.57789
228,cpu%_package-0,22.83373
228,freq_package-0,2069893.125
231,psys-1,26.63865
231,core-0,10.73656
231,package-0,15.00355
231,uncore-0,0.23292
231,package-global,15.00355
231,cpu%_package-global,22.62931
231,cpu%_package-0,23.13416
231,freq_package-0,895037.875
234,psys-1,26.87132
234,core-0,11.00231
234,package-0,15.24267
234,uncore-0,0.20788
234,package-global,15.24267
234,cpu%_package-global,22.4569
234,cpu%_package-0,22.64921
234,freq_package-0,1746083.5
237,psys-1,26.20459
237,core-0,11.0602
237,package-0,15.252
237,uncore-0,0.18085
237,package-global,15.252
237,cpu%_package-global,21.35462
237,cpu%_package-0,21.42946
237,freq_package-0,1897661.0
240,psys-1,24.98021
240,core-0,10.89861
240,package-0,15.1328
240,uncore-0,0.22368
240,package-global,15.1328
240,cpu%_package-global,21.69404
240,cpu%_package-0,21.97243
240,freq_package-0,1901463.75
243,psys-1,25.0484
243,core-0,10.95464
243,package-0,15.18392
243,uncore-0,0.20958
243,package-global,15.18392
243,cpu%_package-global,22.48394
243,cpu%_package-0,22.53676
243,freq_package-0,1869687.5
246,psys-1,25.33366
246,core-0,11.27884
246,package-0,15.45589
246,uncore-0,0.15219
246,package-global,15.45589
246,cpu%_package-global,21.50584
246,cpu%_package-0,21.73958
246,freq_package-0,2535658.375
249,psys-1,5.7074
249,core-0,1.19555
249,package-0,2.5179
249,uncore-0,0.0528
249,package-global,2.5179
249,cpu%_package-global,2.09205
249,cpu%_package-0,2.13044
249,freq_package-0,400000.0
252,psys-1,7.97355
252,core-0,2.85922
252,package-0,4.0597
252,uncore-0,0.0283
252,package-global,4.0597
252,cpu%_package-global,3.12761
252,cpu%_package-0,3.11476
252,freq_package-0,904221.875
255,psys-1,23.22947
255,core-0,12.09355
255,package-0,14.22982
255,uncore-0,0.02516
255,package-global,14.22982
255,cpu%_package-global,12.67723
255,cpu%_package-0,12.75056
255,freq_package-0,899732.75
258,psys-1,23.31339
258,core-0,12.21042
258,package-0,14.29231
258,uncore-0,0.0376
258,package-global,14.29231
258,cpu%_package-global,12.75531
258,cpu%_package-0,12.66695
258,freq_package-0,912498.5
261,psys-1,23.35503
261,core-0,12.19246
261,package-0,14.30026
261,uncore-0,0.02676
261,package-global,14.30026
261,cpu%_package-global,12.80234
261,cpu%_package-0,12.75042
261,freq_package-0,908535.0
264,psys-1,23.47645
264,core-0,12.36156
264,package-0,14.4409
264,uncore-0,0.03467
264,package-global,14.4409
264,cpu%_package-global,12.67195
264,cpu%_package-0,12.625
264,freq_package-0,989590.125
267,psys-1,24.01027
267,core-0,12.16696
267,package-0,14.29315
267,uncore-0,0.03561
267,package-global,14.29315
267,cpu%_package-global,12.80768
267,cpu%_package-0,12.83361
267,freq_package-0,1130730.125
270,psys-1,25.22308
270,core-0,12.26188
270,package-0,14.35176
270,uncore-0,0.0274
270,package-global,14.35176
270,cpu%_package-global,12.80768
270,cpu%_package-0,12.75056
270,freq_package-0,897510.75
273,psys-1,25.66708
273,core-0,12.57408
273,package-0,14.69143
273,uncore-0,0.03135
273,package-global,14.69143
273,cpu%_package-global,12.70833
273,cpu%_package-0,12.70834
273,freq_package-0,898243.625
276,psys-1,25.68932
276,core-0,12.64261
276,package-0,14.73439
276,uncore-0,0.03878
276,package-global,14.73439
276,cpu%_package-global,12.66667
276,cpu%_package-0,12.625
276,freq_package-0,912500.0
279,psys-1,25.6249
279,core-0,12.60742
279,package-0,14.6896
279,uncore-0,0.03463
279,package-global,14.6896
279,cpu%_package-global,12.71363
279,cpu%_package-0,12.74958
279,freq_package-0,912501.375
282,psys-1,23.75576
282,core-0,11.37247
282,package-0,13.45014
282,uncore-0,0.03896
282,package-global,13.45014
282,cpu%_package-global,12.60434
282,cpu%_package-0,12.5
282,freq_package-0,949796.25
285,psys-1,21.43494
285,core-0,10.35637
285,package-0,12.44576
285,uncore-0,0.03622
285,package-global,12.44576
285,cpu%_package-global,12.59383
285,cpu%_package-0,12.66667
285,freq_package-0,866941.375
288,psys-1,21.58994
288,core-0,10.52051
288,package-0,12.58534
288,uncore-0,0.04165
288,package-global,12.58534
288,cpu%_package-global,12.68252
288,cpu%_package-0,12.625
288,freq_package-0,884314.625
291,psys-1,21.71928
291,core-0,10.68429
291,package-0,12.72506
291,uncore-0,0.0324
291,package-global,12.72506
291,cpu%_package-global,12.65136
291,cpu%_package-0,12.66639
291,freq_package-0,907418.875
294,psys-1,21.79008
294,core-0,10.75857
294,package-0,12.79976
294,uncore-0,0.04053
294,package-global,12.79976
294,cpu%_package-global,12.70304
294,cpu%_package-0,12.66653
294,freq_package-0,887498.625
297,psys-1,23.05297
297,core-0,10.28219
297,package-0,13.5608
297,uncore-0,0.32424
297,package-global,13.5608
297,cpu%_package-global,20.70729
297,cpu%_package-0,20.5108
